N,P,APE,kappa,runtime,K,dt,runFile
5,10000,1.13788,1059300000000.0,0.0086199,110.0,0.2,0
10,10000,0.681114,1478040000000.0,0.0179874,110.0,0.1,0
100,10000,1.06226,6469130000000.0,0.166365,110.0,0.01,0
125,10000,0.52066,7383930000000.0,0.208985,110.0,0.008,0
400,10000,1.11983,22365700000000.0,0.679012,110.0,0.0025,0
500,10000,0.206374,26833400000000.0,0.861268,110.0,0.002,0
1000,10000,1.13315,53151100000000.0,1.74216,110.0,0.001,0
5000,10000,0.659387,275673000000000.0,9.77791,110.0,0.0002,0
5,10000,0.2507,1014980000000.0,0.0091085,110.0,0.2,0
10,10000,0.849458,1483120000000.0,0.0188683,110.0,0.1,0
100,10000,0.697229,6397160000000.0,0.168067,110.0,0.01,0
125,10000,0.392527,7469360000000.0,0.204785,110.0,0.008,0
400,10000,1.43813,22188900000000.0,0.676437,110.0,0.0025,0
500,10000,1.28155,27247400000000.0,0.890587,110.0,0.002,0
1000,10000,0.94856,52460700000000.0,1.71092,110.0,0.001,0
5000,10000,1.22755,241084000000000.0,9.59797,110.0,0.0002,0
5,10000,1.13598,1083460000000.0,0.0088427,110.0,0.2,0
10,10000,0.501979,1521390000000.0,0.0178422,110.0,0.1,0
100,10000,0.220864,6200640000000.0,0.172533,110.0,0.01,0
125,10000,0.448509,7518160000000.0,0.205605,110.0,0.008,0
400,10000,1.23481,21869400000000.0,0.689596,110.0,0.0025,0
500,10000,0.531204,27198300000000.0,0.877374,110.0,0.002,0
1000,10000,0.088546,53146400000000.0,1.75563,110.0,0.001,0
5000,10000,0.664763,247382000000000.0,9.75917,110.0,0.0002,0
5,10000,3.26934,1038720000000.0,0.0097903,110.0,0.2,0
10,10000,2.43984,1491290000000.0,0.0178191,110.0,0.1,0
100,10000,0.673923,6050370000000.0,0.176616,110.0,0.01,0
125,10000,1.58464,7629530000000.0,0.205603,110.0,0.008,0
400,10000,0.321017,20386300000000.0,0.679903,110.0,0.0025,0
500,10000,0.683458,26501900000000.0,0.860012,110.0,0.002,0
1000,10000,0.773511,54762300000000.0,1.74925,110.0,0.001,0
5000,10000,0.486771,269020000000000.0,9.66282,110.0,0.0002,0
5,10000,2.40627,1044270000000.0,0.0085775,110.0,0.2,0
