N,P,APE,kappa,runtime,K,dt
5,10000,6.11953,2.24619e+15,0.0066934,90,0.0166667
10,10000,17.7189,1.74611e+17,0.0107148,90,0.00833333
50,10000,7.28055,5.27934e+15,0.0397909,90,0.00166667
100,10000,6.6915,5.3718e+16,0.09054,90,0.000833333
500,10000,12.9853,3.17934e+15,0.359128,90,0.000166667
1000,10000,24.988,1.96112e+16,0.745791,90,8.33333e-05
5,10000,24.2154,3.54519e+15,0.0043711,90,0.0166667
10,10000,10.5961,1.96977e+15,0.010038,90,0.00833333
50,10000,24.6078,7.83294e+15,0.0351905,90,0.00166667
100,10000,12.8533,3.60749e+16,0.0780726,90,0.000833333
500,10000,12.5066,4.3328e+16,0.384663,90,0.000166667
1000,10000,14.3631,4.92516e+16,0.676097,90,8.33333e-05
5,10000,0.877236,5.0577e+14,0.0047406,90,0.0166667
10,10000,11.3798,4.71544e+15,0.0097762,90,0.00833333
50,10000,6.41928,1.26009e+16,0.0397725,90,0.00166667
100,10000,9.14412,3.14089e+16,0.0796869,90,0.000833333
500,10000,5.85122,1.87023e+16,0.33711,90,0.000166667
1000,10000,20.0971,1.43483e+16,0.66015,90,8.33333e-05
5,10000,2.38585,1.31166e+16,0.0052187,90,0.0166667
10,10000,13.4867,8.78554e+16,0.0092184,90,0.00833333
50,10000,15.8632,1.33062e+15,0.0394307,90,0.00166667
100,10000,8.46251,4.27708e+16,0.075568,90,0.000833333
500,10000,6.32037,2.64427e+16,0.357108,90,0.000166667
1000,10000,3.55273,3.3474e+16,0.684431,90,8.33333e-05
5,10000,3.85294,1.9539e+15,0.0053212,90,0.0166667
10,10000,2.91033,1.54227e+16,0.0076754,90,0.00833333
50,10000,7.68305,2.62373e+16,0.0506294,90,0.00166667
100,10000,4.03007,1.08968e+16,0.109065,90,0.000833333
500,10000,7.84288,2.2808e+16,0.450806,90,0.000166667
1000,10000,3.86973,2.27335e+16,0.887242,90,8.33333e-05
5,10000,1.07022,2.46596e+15,0.0069959,90,0.0166667
10,10000,12.7772,1.32433e+16,0.0109131,90,0.00833333
50,10000,5.91018,3.45856e+16,0.0544278,90,0.00166667
100,10000,10.4709,6.28662e+15,0.0779743,90,0.000833333
500,10000,5.9614,3.37316e+16,0.328358,90,0.000166667
1000,10000,0.16065,2.95443e+16,0.691896,90,8.33333e-05
5,10000,8.04405,2.5477e+15,0.0056828,90,0.0166667
10,10000,4.21062,1.79901e+17,0.0094264,90,0.00833333
50,10000,0.867854,6.2599e+16,0.0336431,90,0.00166667
100,10000,7.47844,6.4466e+15,0.0717165,90,0.000833333
500,10000,21.2184,4.23585e+16,0.339312,90,0.000166667
1000,10000,8.87935,5.39598e+16,0.692336,90,8.33333e-05
5,10000,2.41035,4.58206e+15,0.0057062,90,0.0166667
10,10000,8.49897,8.21838e+15,0.0095295,90,0.00833333
50,10000,4.44479,5.68293e+15,0.0435985,90,0.00166667
100,10000,4.55037,3.32544e+16,0.0807313,90,0.000833333
500,10000,3.57311,6.82785e+16,0.343839,90,0.000166667
1000,10000,13.6376,3.21368e+16,0.724579,90,8.33333e-05
5,10000,8.77278,2.84564e+15,0.0047729,90,0.0166667
10,10000,7.06348,1.38215e+16,0.0104867,90,0.00833333
50,10000,2.2493,1.02346e+16,0.0432729,90,0.00166667
100,10000,2.32807,3.74501e+16,0.0740585,90,0.000833333
500,10000,11.4736,6.8376e+16,0.33184,90,0.000166667
1000,10000,12.7786,1.79991e+16,0.684756,90,8.33333e-05
5,10000,12.8793,4.64771e+15,0.0066251,90,0.0166667
