S0,P,APE,kappa,runtime,K,dt
100,10000,0.0532663,1.97978e+16,0.201168,110,0.0001
100,10000,0.00631042,1.98076e+16,0.204841,110,0.0001
100,10000,0.098062,1.96942e+16,0.206254,110,0.0001
100,10000,0.0186772,1.97577e+16,0.206025,110,0.0001
100,10000,0.0374794,2.03709e+16,0.208102,110,0.0001
100,10000,0.0223671,2.05088e+16,0.209693,110,0.0001
100,10000,0.0276195,2.00394e+16,0.21022,110,0.0001
100,10000,0.0765387,1.97694e+16,0.207143,110,0.0001
100,10000,0.0350289,2.08233e+16,0.206889,110,0.0001
100,10000,0.120522,1.88619e+16,0.205341,110,0.0001
100,10000,0.144624,2.05365e+16,0.222111,110,0.0001
100,10000,0.0280532,2.00067e+16,0.205019,110,0.0001
100,10000,0.14939,2.09186e+16,0.206974,110,0.0001
100,10000,0.11668,2.12061e+16,0.205565,110,0.0001
100,10000,0.00830812,2.02486e+16,0.208112,110,0.0001
100,10000,0.128062,1.98129e+16,0.204169,110,0.0001
100,10000,0.0453122,2.00686e+16,0.208998,110,0.0001
100,10000,0.0637312,2.05578e+16,0.212123,110,0.0001
100,10000,0.0251476,1.99984e+16,0.219381,110,0.0001
100,10000,0.0272978,2.07268e+16,0.204668,110,0.0001
100,10000,0.00370714,2.00533e+16,0.219618,110,0.0001
100,10000,0.0746945,1.95855e+16,0.205201,110,0.0001
100,10000,0.183538,1.97097e+16,0.204042,110,0.0001
100,10000,0.124755,1.9712e+16,0.206705,110,0.0001
100,10000,0.0106584,1.98532e+16,0.203444,110,0.0001
100,10000,0.158064,1.95809e+16,0.208803,110,0.0001
100,10000,0.130586,2.00399e+16,0.205125,110,0.0001
100,10000,0.0419331,2.06206e+16,0.203229,110,0.0001
100,10000,0.0507116,2.03322e+16,0.204745,110,0.0001
100,10000,0.0492531,1.99903e+16,0.202807,110,0.0001
100,10000,0.00207636,2.02823e+16,0.219868,110,0.0001
100,10000,0.01006,1.96345e+16,0.207071,110,0.0001
100,10000,0.0709227,2.01113e+16,0.208335,110,0.0001
100,10000,0.12567,1.98775e+16,0.205795,110,0.0001
100,10000,0.0308065,1.96996e+16,0.219812,110,0.0001
