S0,K,T,r,v,price
100,110,0.01,0.05,0.2,9.999999999999963
100,105,0.01,0.05,0.2,4.999999999999951
100,100,0.01,0.05,0.2,0.7051033922140508
100,95,0.01,0.05,0.2,0.0011311885377078934
100,110,0.025,0.05,0.2,9.999999999999961
100,105,0.025,0.05,0.2,5.0264034549673
100,100,0.025,0.05,0.2,1.1991551145035728
100,95,0.025,0.05,0.2,0.059999207681385926
100,110,0.05,0.05,0.2,9.99999999999996
100,105,0.05,0.05,0.2,5.176558536643868
100,100,0.05,0.05,0.2,1.666001677918437
100,95,0.05,0.05,0.2,0.23888996478748864
100,110,0.1,0.05,0.2,10.008744842867028
100,105,0.1,0.05,0.2,5.531332836940572
100,100,0.1,0.05,0.2,2.2979882337285726
100,95,0.1,0.05,0.2,0.6256924118231936
100,110,0.2,0.05,0.2,10.202173532923176
100,105,0.2,0.05,0.2,6.16178833536031
100,100,0.2,0.05,0.2,3.156835201169711
100,95,0.2,0.05,0.2,1.29608898459069
100,110,0.35,0.05,0.2,10.588526560234468
100,105,0.35,0.05,0.2,6.868394152831165
100,100,0.35,0.05,0.2,4.007305668675943
100,95,0.35,0.05,0.2,2.041734790138144
100,110,0.5,0.05,0.2,10.965986632341746
100,105,0.5,0.05,0.2,7.4313147253535075
100,100,0.5,0.05,0.2,4.6501980929683375
100,95,0.5,0.05,0.2,2.634623885946211
100,110,0.75,0.05,0.2,11.510196002215237
100,105,0.75,0.05,0.2,8.160534432144605
100,100,0.75,0.05,0.2,5.459251830484568
100,95,0.75,0.05,0.2,3.4025833098132234
100,110,1.0,0.05,0.2,11.97184611641221
100,105,1.0,0.05,0.2,8.73938852172418
100,100,1.0,0.05,0.2,6.089769951939136
100,95,1.0,0.05,0.2,4.012655060686365
100,110,1.5,0.05,0.2,12.699048047344503
100,105,1.5,0.05,0.2,9.610030070590144
100,100,1.5,0.05,0.2,7.026126501678202
100,95,1.5,0.05,0.2,4.931703520874282
100,110,2.0,0.05,0.2,13.262465890956925
100,105,2.0,0.05,0.2,10.262823688654699
100,100,2.0,0.05,0.2,7.722031342048858
100,95,2.0,0.05,0.2,5.6223530320485935
100,110,3.0,0.05,0.2,14.084443041888166
100,105,3.0,0.05,0.2,11.193832101272237
100,100,3.0,0.05,0.2,8.708925011972013
100,95,3.0,0.05,0.2,6.610371704372805
100,110,5.0,0.05,0.2,15.09558257255528
100,105,5.0,0.05,0.2,12.317018471472291
100,100,5.0,0.05,0.2,9.894742023356269
100,95,5.0,0.05,0.2,7.808553345577401
100,110,7.0,0.05,0.2,15.69416072624495
100,105,7.0,0.05,0.2,12.974712476322198
