S0,K,T,r,v,price
100,70,0.08,0.01,0.05,0.0
100,70,0.08,0.01,0.13,0.0
100,70,0.08,0.01,0.21,0.0
100,70,0.08,0.01,0.29,8.818281051306003e-06
100,70,0.08,0.01,0.37,0.0006794400982931923
100,70,0.08,0.01,0.45,0.007587335365286472
100,70,0.08,0.01,0.53,0.0346689244276344
100,70,0.08,0.01,0.61,0.09829189590461568
100,70,0.08,0.01,0.69,0.21021322399956852
100,70,0.08,0.01,0.8,0.45178352093111274
100,70,0.08,0.025,0.05,0.0
100,70,0.08,0.025,0.13,0.0
100,70,0.08,0.025,0.21,0.0
100,70,0.08,0.025,0.29,8.223649134436925e-06
100,70,0.08,0.025,0.37,0.0006496471540798522
100,70,0.08,0.025,0.45,0.007349692315277888
100,70,0.08,0.025,0.53,0.03384226521023386
100,70,0.08,0.025,0.61,0.09642428164602426
100,70,0.08,0.025,0.69,0.20691999323967886
100,70,0.08,0.025,0.8,0.4461244205805863
100,70,0.08,0.04,0.05,0.0
100,70,0.08,0.04,0.13,0.0
100,70,0.08,0.04,0.21,0.0
100,70,0.08,0.04,0.29,7.66840691295094e-06
100,70,0.08,0.04,0.37,0.000621141765636302
100,70,0.08,0.04,0.45,0.007119514274522881
100,70,0.08,0.04,0.53,0.03303598489507369
100,70,0.08,0.04,0.61,0.09459488078722102
100,70,0.08,0.04,0.69,0.20368521313362814
100,70,0.08,0.04,0.8,0.44055226885935533
100,70,0.08,0.055,0.05,0.0
100,70,0.08,0.055,0.13,0.0
100,70,0.08,0.055,0.21,0.0
100,70,0.08,0.055,0.29,7.149765022519534e-06
100,70,0.08,0.055,0.37,0.0005938558671539925
100,70,0.08,0.055,0.45,0.006896424138633887
100,70,0.08,0.055,0.53,0.03224894689065696
100,70,0.08,0.055,0.61,0.09280122074043123
100,70,0.08,0.055,0.69,0.20050439623296903
100,70,0.08,0.055,0.8,0.43505886444246583
100,70,0.08,0.07,0.05,0.0
100,70,0.08,0.07,0.13,0.0
100,70,0.08,0.07,0.21,0.0
100,70,0.08,0.07,0.29,6.6652783573713965e-06
100,70,0.08,0.07,0.37,0.0005677321546774866
100,70,0.08,0.07,0.45,0.006680141947031628
100,70,0.08,0.07,0.53,0.03148038544822379
100,70,0.08,0.07,0.61,0.09104179895469743
100,70,0.08,0.07,0.69,0.19737499009582
100,70,0.08,0.07,0.8,0.4296398591188316
100,70,0.08,0.1,0.05,0.0
100,70,0.08,0.1,0.13,0.0
100,70,0.08,0.1,0.21,0.0
100,70,0.08,0.1,0.29,5.789992778543042e-06
100,70,0.08,0.1,0.37,0.0005187702581565278
100,70,0.08,0.1,0.45,0.006267054343908788
100,70,0.08,0.1,0.53,0.029996412712451084
100,70,0.08,0.1,0.61,0.08762138293594796
100,70,0.08,0.1,0.69,0.19126363057389414
100,70,0.08,0.1,0.8,0.41901384986840884
100,74,0.08,0.01,0.05,0.0
100,74,0.08,0.01,0.13,0.0
100,74,0.08,0.01,0.21,1.5984996318039456e-07
100,74,0.08,0.01,0.29,0.0001877886428516856
100,74,0.08,0.01,0.37,0.00494592684842162
100,74,0.08,0.01,0.45,0.031463715232992615
100,74,0.08,0.01,0.53,0.10293815381393295
100,74,0.08,0.01,0.61,0.2351153812027342
100,74,0.08,0.01,0.69,0.4332489086651894
100,74,0.08,0.01,0.8,0.8090021337305459
100,74,0.08,0.025,0.05,0.0
100,74,0.08,0.025,0.13,0.0
100,74,0.08,0.025,0.21,1.4316994789452613e-07
100,74,0.08,0.025,0.29,0.00017674937027261863
100,74,0.08,0.025,0.37,0.00475512747177261
100,74,0.08,0.025,0.45,0.030588701756903907
100,74,0.08,0.025,0.53,0.10073971022450116
100,74,0.08,0.025,0.61,0.2310819175353479
100,74,0.08,0.025,0.69,0.42707640742850234
100,74,0.08,0.025,0.8,0.799705539287284
100,74,0.08,0.04,0.05,0.0
100,74,0.08,0.04,0.13,0.0
100,74,0.08,0.04,0.21,1.2826516679601222e-07
100,74,0.08,0.04,0.29,0.00016634568120081413
100,74,0.08,0.04,0.37,0.004571632088027917
100,74,0.08,0.04,0.45,0.029738554928331586
100,74,0.08,0.04,0.53,0.09859138830141763
100,74,0.08,0.04,0.61,0.2271264923091025
100,74,0.08,0.04,0.69,0.42100954871705515
100,74,0.08,0.04,0.8,0.7905499028154764
100,74,0.08,0.055,0.05,0.0
100,74,0.08,0.055,0.13,0.0
100,74,0.08,0.055,0.21,1.1487400605906362e-07
100,74,0.08,0.055,0.29,0.00015653721951235192
100,74,0.08,0.055,0.37,0.0043950493435661875
100,74,0.08,0.055,0.45,0.028911869901464177
100,74,0.08,0.055,0.53,0.09648988849612396
100,74,0.08,0.055,0.61,0.22324307887343509
100,74,0.08,0.055,0.69,0.4150386667838073
100,74,0.08,0.055,0.8,0.78151977092559
100,74,0.08,0.07,0.05,0.0
100,74,0.08,0.07,0.13,0.0
100,74,0.08,0.07,0.21,1.0284560196571064e-07
100,74,0.08,0.07,0.29,0.00014728903702997259
100,74,0.08,0.07,0.37,0.0042250723690186644
100,74,0.08,0.07,0.45,0.028107681013291284
100,74,0.08,0.07,0.53,0.09443324026456253
100,74,0.08,0.07,0.61,0.21942809049126255
100,74,0.08,0.07,0.69,0.40915855161920317
100,74,0.08,0.07,0.8,0.7726070621471501
100,74,0.08,0.1,0.05,0.0
100,74,0.08,0.1,0.13,0.0
100,74,0.08,0.1,0.21,8.235042732095739e-08
100,74,0.08,0.1,0.29,0.00013034733341528296
100,74,0.08,0.1,0.37,0.0039038852161441544
100,74,0.08,0.1,0.45,0.026563780293943556
100,74,0.08,0.1,0.53,0.09044836948742481
100,74,0.08,0.1,0.61,0.21199414648835652
100,74,0.08,0.1,0.69,0.3976566407756743
100,74,0.08,0.1,0.8,0.7551132202068201
100,78,0.08,0.01,0.05,0.0
100,78,0.08,0.01,0.13,0.0
100,78,0.08,0.01,0.21,1.4441835084039057e-05
100,78,0.08,0.01,0.29,0.002316285356025855
100,78,0.08,0.01,0.37,0.02580229681971609
100,78,0.08,0.01,0.45,0.10423012334634996
100,78,0.08,0.01,0.53,0.2599008283988979
100,78,0.08,0.01,0.61,0.4973085779927295
100,78,0.08,0.01,0.69,0.8104334259537205
100,78,0.08,0.01,0.8,1.3463443456418653
100,78,0.08,0.025,0.05,0.0
100,78,0.08,0.025,0.13,0.0
100,78,0.08,0.025,0.21,1.3157990170640707e-05
100,78,0.08,0.025,0.29,0.0021988486609871532
100,78,0.08,0.025,0.37,0.02493338016813049
100,78,0.08,0.025,0.45,0.10167029762389965
100,78,0.08,0.025,0.53,0.2549474789195398
100,78,0.08,0.025,0.61,0.48962434515193953
100,78,0.08,0.025,0.69,0.7999486318054642
100,78,0.08,0.025,0.8,1.3321588863447273
100,78,0.08,0.04,0.05,0.0
100,78,0.08,0.04,0.13,0.0
100,78,0.08,0.04,0.21,1.1985661151131462e-05
100,78,0.08,0.04,0.29,0.002087257730712111
100,78,0.08,0.04,0.37,0.02409396311833273
100,78,0.08,0.04,0.45,0.09917684342323785
100,78,0.08,0.04,0.53,0.25010006667518797
100,78,0.08,0.04,0.61,0.4820831411887569
100,78,0.08,0.04,0.69,0.78964010929082
100,78,0.08,0.04,0.8,1.3181897123226354
100,78,0.08,0.055,0.05,0.0
100,78,0.08,0.055,0.13,0.0
100,78,0.08,0.055,0.21,1.0914932195787985e-05
100,78,0.08,0.055,0.29,0.001981160703956379
100,78,0.08,0.055,0.37,0.023282341346441606
100,78,0.08,0.055,0.45,0.09674537713219157
100,78,0.08,0.055,0.53,0.2453501278699511
100,78,0.08,0.055,0.61,0.47467148419406185
100,78,0.08,0.055,0.69,0.7794888157798354
100,78,0.08,0.055,0.8,1.3044091759153698
100,78,0.08,0.07,0.05,0.0
100,78,0.08,0.07,0.13,0.0
100,78,0.08,0.07,0.21,9.9370862911613e-06
100,78,0.08,0.07,0.29,0.0018802672960715298
100,78,0.08,0.07,0.37,0.022497268225314407
100,78,0.08,0.07,0.45,0.09437305784355725
100,78,0.08,0.07,0.53,0.2406929067407366
100,78,0.08,0.07,0.61,0.46738183643313547
100,78,0.08,0.07,0.69,0.7694842284245668
100,78,0.08,0.07,0.8,1.2908032541400163
100,78,0.08,0.1,0.05,0.0
100,78,0.08,0.1,0.13,0.0
100,78,0.08,0.1,0.21,8.229159926998782e-06
100,78,0.08,0.1,0.29,0.0016930540722844022
100,78,0.08,0.1,0.37,0.021002798414038532
100,78,0.08,0.1,0.45,0.08979768923948936
100,78,0.08,0.1,0.53,0.23164275270040513
100,78,0.08,0.1,0.61,0.45314992677660504
100,78,0.08,0.1,0.69,0.7498900925976386
100,78,0.08,0.1,0.8,1.2640793250683857
100,82,0.08,0.01,0.05,0.0
100,82,0.08,0.01,0.13,1.3509429813491238e-08
100,82,0.08,0.01,0.21,0.0005305619457274073
100,82,0.08,0.01,0.29,0.0179704142672109
100,82,0.08,0.01,0.37,0.10150135293091221
100,82,0.08,0.01,0.45,0.28546336940945755
100,82,0.08,0.01,0.53,0.5719257182396732
100,82,0.08,0.01,0.61,0.9475453757727103
100,82,0.08,0.01,0.69,1.3959502918178186
100,82,0.08,0.01,0.8,2.10478383669249
100,82,0.08,0.025,0.05,0.0
100,82,0.08,0.025,0.13,1.1250332109240648e-08
100,82,0.08,0.025,0.21,0.0004910566392822202
100,82,0.08,0.025,0.29,0.017194813591470025
100,82,0.08,0.025,0.37,0.09854404942115688
100,82,0.08,0.025,0.45,0.2793096720055753
100,82,0.08,0.025,0.53,0.562238149827206
100,82,0.08,0.025,0.61,0.9343931754560352
100,82,0.08,0.025,0.69,1.379577508869486
100,82,0.08,0.025,0.8,2.0844643550449833
100,82,0.08,0.04,0.05,0.0
100,82,0.08,0.04,0.13,9.359639314474162e-09
100,82,0.08,0.04,0.21,0.0004544159752164655
100,82,0.08,0.04,0.29,0.01645244395478624
100,82,0.08,0.04,0.37,0.09567648721573659
100,82,0.08,0.04,0.45,0.2733039528155447
100,82,0.08,0.04,0.53,0.5527490869893746
100,82,0.08,0.04,0.61,0.9214818431145304
100,82,0.08,0.04,0.69,1.3634813723452055
100,82,0.08,0.04,0.8,2.064462732722507
100,82,0.08,0.055,0.05,0.0
100,82,0.08,0.055,0.13,7.778791047705194e-09
100,82,0.08,0.055,0.21,0.00042041815874551737
100,82,0.08,0.055,0.29,0.01574127036461735
100,82,0.08,0.055,0.37,0.09289257892215155
100,82,0.08,0.055,0.45,0.2674341523450728
100,82,0.08,0.055,0.53,0.5434391033679693
100,82,0.08,0.055,0.61,0.9087840011813593
100,82,0.08,0.055,0.69,1.3476261433811199
100,82,0.08,0.055,0.8,2.044732270982414
100,82,0.08,0.07,0.05,0.0
100,82,0.08,0.07,0.13,6.458465098157843e-09
100,82,0.08,0.07,0.21,0.0003888719309851126
100,82,0.08,0.07,0.29,0.015059734722945103
100,82,0.08,0.07,0.37,0.09018837047200537
100,82,0.08,0.07,0.45,0.26169303888934664
100,82,0.08,0.07,0.53,0.5342975317651582
100,82,0.08,0.07,0.61,0.8962847236040259
100,82,0.08,0.07,0.69,1.3319935874224826
100,82,0.08,0.07,0.8,2.0252492516537
100,82,0.08,0.1,0.05,0.0
100,82,0.08,0.1,0.13,4.438593335066092e-09
100,82,0.08,0.1,0.21,0.0003324470332084618
100,82,0.08,0.1,0.29,0.013780219742746552
100,82,0.08,0.1,0.37,0.08500690243797193
100,82,0.08,0.1,0.45,0.2505775024059682
100,82,0.08,0.1,0.53,0.5164911126516192
100,82,0.08,0.1,0.61,0.8718460389426362
100,82,0.08,0.1,0.69,1.3013497988206661
100,82,0.08,0.1,0.8,1.986968710460379
100,86,0.08,0.01,0.05,0.0
100,86,0.08,0.01,0.13,1.3142229314140404e-05
100,86,0.08,0.01,0.21,0.009083062952869267
100,86,0.08,0.01,0.29,0.09411916804919249
100,86,0.08,0.01,0.37,0.31441859249488696
100,86,0.08,0.01,0.45,0.665417129391831
100,86,0.08,0.01,0.53,1.1198954342560414
100,86,0.08,0.01,0.61,1.6517566591953285
100,86,0.08,0.01,0.69,2.2409638853242644
100,86,0.08,0.01,0.8,3.118795391910581
100,86,0.08,0.025,0.05,0.0
100,86,0.08,0.025,0.13,1.1336421316339238e-05
100,86,0.08,0.025,0.21,0.00852985259512925
100,86,0.08,0.025,0.29,0.09071448372097544
100,86,0.08,0.025,0.37,0.3065736416482085
100,86,0.08,0.025,0.45,0.6529112457946241
100,86,0.08,0.025,0.53,1.1031111306094996
100,86,0.08,0.025,0.61,1.631220650347221
100,86,0.08,0.025,0.69,2.217177962272613
100,86,0.08,0.025,0.8,3.0912298468825554
100,86,0.08,0.04,0.05,0.0
100,86,0.08,0.04,0.13,9.772251382552396e-06
100,86,0.08,0.04,0.21,0.008009570299482868
100,86,0.08,0.04,0.29,0.08743599107335828
100,86,0.08,0.04,0.37,0.2989457368979974
100,86,0.08,0.04,0.45,0.6406921789285217
100,86,0.08,0.04,0.53,1.086666384415629
100,86,0.08,0.04,0.61,1.6110652756967139
100,86,0.08,0.04,0.69,2.1938061221174343
100,86,0.08,0.04,0.8,3.064115319991721
100,86,0.08,0.055,0.05,0.0
100,86,0.08,0.055,0.13,8.417683046922231e-06
100,86,0.08,0.055,0.21,0.007519868062374263
100,86,0.08,0.055,0.29,0.08427476849070951
100,86,0.08,0.055,0.37,0.291516491431917
100,86,0.08,0.055,0.45,0.6287303262915498
100,86,0.08,0.055,0.53,1.070520232811698
100,86,0.08,0.055,0.61,1.5912387266852082
100,86,0.08,0.055,0.69,2.170786440516451
100,86,0.08,0.055,0.8,3.037377885747744
100,86,0.08,0.07,0.05,0.0
100,86,0.08,0.07,0.13,7.245279611724811e-06
100,86,0.08,0.07,0.21,0.00705881156945222
100,86,0.08,0.07,0.29,0.08122483860447027
100,86,0.08,0.07,0.37,0.28427474649624956
100,86,0.08,0.07,0.45,0.6170092015178803
100,86,0.08,0.07,0.53,1.0546506863915526
100,86,0.08,0.07,0.61,1.571714161247678
100,86,0.08,0.07,0.69,2.1480871493496965
100,86,0.08,0.07,0.8,3.0109794794502944
100,86,0.08,0.1,0.05,0.0
100,86,0.08,0.1,0.13,5.354687722220231e-06
100,86,0.08,0.1,0.21,0.006215974061593578
100,86,0.08,0.1,0.29,0.07543953582089566
100,86,0.08,0.1,0.37,0.27032297298110036
100,86,0.08,0.1,0.45,0.5942459758952473
