Stock_Price,Risk_Free_Rate,Strike,Days_to_exp,Years_to_exp,Moneyness,Volatility,Actual_Price
100.00000,0.04000,90.00000,30.00000,0.08219,0.90000,0.10000,0.00005
100.00000,0.04000,90.00000,30.00000,0.08219,0.90000,0.30000,0.40214
100.00000,0.04000,90.00000,30.00000,0.08219,0.90000,0.50000,1.75849
100.00000,0.04000,90.00000,60.00000,0.16438,0.90000,0.10000,0.00338
100.00000,0.04000,90.00000,60.00000,0.16438,0.90000,0.30000,1.11951
100.00000,0.04000,90.00000,60.00000,0.16438,0.90000,0.50000,3.49873
100.00000,0.04000,90.00000,180.00000,0.49315,0.90000,0.10000,0.10353
100.00000,0.04000,90.00000,180.00000,0.49315,0.90000,0.30000,3.42358
100.00000,0.04000,90.00000,180.00000,0.49315,0.90000,0.50000,8.14316
100.00000,0.04000,100.00000,30.00000,0.08219,1.00000,0.10000,1.01150
100.00000,0.04000,100.00000,30.00000,0.08219,1.00000,0.30000,3.28427
100.00000,0.04000,100.00000,30.00000,0.08219,1.00000,0.50000,5.56178
100.00000,0.04000,100.00000,60.00000,0.16438,1.00000,0.10000,1.36266
100.00000,0.04000,100.00000,60.00000,0.16438,1.00000,0.30000,4.56036
100.00000,0.04000,100.00000,60.00000,0.16438,1.00000,0.50000,7.76868
100.00000,0.04000,100.00000,180.00000,0.49315,1.00000,0.10000,2.09766
100.00000,0.04000,100.00000,180.00000,0.49315,1.00000,0.30000,7.53811
100.00000,0.04000,100.00000,180.00000,0.49315,1.00000,0.50000,13.01416
100.00000,0.04000,110.00000,30.00000,0.08219,1.10000,0.10000,10.00000
100.00000,0.04000,110.00000,30.00000,0.08219,1.10000,0.30000,10.40642
100.00000,0.04000,110.00000,30.00000,0.08219,1.10000,0.50000,12.05768
100.00000,0.04000,110.00000,60.00000,0.16438,1.10000,0.10000,10.00000
100.00000,0.04000,110.00000,60.00000,0.16438,1.10000,0.30000,11.17267
100.00000,0.04000,110.00000,60.00000,0.16438,1.10000,0.50000,13.98212
100.00000,0.04000,110.00000,180.00000,0.49315,1.10000,0.10000,10.00000
100.00000,0.04000,110.00000,180.00000,0.49315,1.10000,0.30000,13.58293
100.00000,0.04000,110.00000,180.00000,0.49315,1.10000,0.50000,19.02334
