N,P,APE,kappa,runtime,K,runType
1,10000,6.69249,0.0,0.0085428,102.5,1.0
1,10000,3.73697,0.0,0.0034209,95.0,1.0
1,10000,6.63098,0.0,0.0076663,102.5,1.0
1,10000,3.81124,0.0,0.0031908,95.0,1.0
1,10000,6.68614,0.0,0.0065122,102.5,1.0
1,10000,3.76111,0.0,0.0044859,95.0,1.0
1,10000,6.60492,0.0,0.0061737,102.5,1.0
1,10000,3.69568,0.0,0.0027174,95.0,1.0
1,10000,6.74919,0.0,0.0079162,102.5,1.0
1,10000,3.71249,0.0,0.0029915,95.0,1.0
1,10000,6.64074,0.0,0.0065933,102.5,1.0
1,10000,4.62215,0.0,0.0065295,97.5,1.0
1,10000,7.93695,0.0,0.0046443,105.0,1.0
1,10000,4.48965,0.0,0.0072102,97.5,1.0
1,10000,7.87953,0.0,0.0030908,105.0,1.0
1,10000,4.52401,0.0,0.0083328,97.5,1.0
1,10000,7.77586,0.0,0.0033891,105.0,1.0
1,10000,4.57577,0.0,0.0062023,97.5,1.0
1,10000,7.71786,0.0,0.0043342,105.0,1.0
1,10000,4.62412,0.0,0.006834,97.5,1.0
1,10000,7.97419,0.0,0.0041478,105.0,1.0
1,10000,4.51088,0.0,0.0079371,97.5,1.0
1,10000,3.85066,0.0,0.0037324,95.0,1.0
1,10000,7.71216,0.0,0.0039278,105.0,1.0
1,10000,7.92274,0.0,0.0031208,105.0,1.0
1,10000,4.63546,0.0,0.0070269,97.5,1.0
1,10000,7.85155,0.0,0.0035052,105.0,1.0
1,10000,4.62996,0.0,0.0064911,97.5,1.0
1,10000,7.76883,0.0,0.0033399,105.0,1.0
1,10000,4.614,0.0,0.007116,97.5,1.0
1,10000,7.79086,0.0,0.0034369,105.0,1.0
1,10000,4.69615,0.0,0.0082856,97.5,1.0
1,10000,7.98231,0.0,0.0061779,105.0,1.0
1,10000,4.55606,0.0,0.0063327,97.5,1.0
1,10000,8.03392,0.0,0.0044925,105.0,1.0
1,10000,4.59223,0.0,0.0073644,97.5,1.0
1,10000,6.72498,0.0,0.0075772,102.5,1.0
1,10000,3.62685,0.0,0.0043647,95.0,1.0
1,10000,6.65078,0.0,0.0070848,102.5,1.0
1,10000,3.63993,0.0,0.0032861,95.0,1.0
1,10000,6.68784,0.0,0.0072385,102.5,1.0
1,10000,3.67796,0.0,0.0037257,95.0,1.0
1,10000,6.62971,0.0,0.0067731,102.5,1.0
1,10000,3.59246,0.0,0.0030529,95.0,1.0
1,10000,6.68047,0.0,0.0067272,102.5,1.0
